
#K(subnets), #B(sample_interval), Tau_visited, P_visited, Tau_topk, P_topk, dataset, seed, #valBatch, PretrainedWeights
5,1,0.6414453646482123,9.198742119917542e-212,-0.20925143612891303,0.16194344582870934,cifar10,666,30,/search_nb201_gpunum1_c10_5net_1batch_watch_NoneGrad/2022-05-04_04-54-30
5,1,0.6517370518293681,1.4149248884615315e-218,-0.13651764585706944,0.3650836253224967,cifar10,666,30,/search_nb201_gpunum1_c10_5net_1batch_watch/2022-05-04_00-37-26
5,1,0.6279044556920558,4.717462325767792e-203,0.37113480951260275,0.015635611661438398,cifar10,666,30,/search_nb201_gpunum1_c10_5net_1batch/2022-04-27_23-57-53
5,1,0.6727513609137452,9.660952467290071e-233,-0.17503154687891792,0.2306656647622105,cifar10,666,30,/search_nb201_gpunum1_c10_5net_1batch/2022-04-27_12-28-35
5,1,0.630986239292683,3.5365831931713512e-205,-0.1738856534405324,0.2499414750209591,cifar10,666,30,/search_nb201_gpunum1_c10_origin_fairnas_5net_1batch/2022-04-28_06-04-27
5,1,0.6246908004915296,7.396553975569664e-201,-0.2536251577260199,0.08550491889146707,cifar10,666,30,/search_nb201_gpunum1_c10_origin_fairnas_5net_1batch/2022-04-28_06-04-29
5,5,0.4918944467318224,1.61706978916873e-125,0.5589531030673068,0.00013822382025427147,cifar10,666,30,/search_nb201_gpunum1_c10_5net_5batch/2022-04-29_04-38-17
8,1,0.6375440974216394,2.1613169242150314e-209,-0.2739693747815616,0.10362540300737023,cifar10,666,30,/search_nb201_gpunum1_c10_8net_1batch/2022-04-27_12-28-37
8,1,0.6369940581341128,8.094905291667967e-209,0.020628424925175866,0.8878256018231004,cifar10,666,30,/search_nb201_gpunum1_c10_8net_1batch/2022-04-27_23-57-53
8,5,0.4428858658143635,4.873295149383865e-102,0.09364956664084463,0.5240268097083334,cifar10,666,30,/search_nb201_gpunum1_c10_8net_5batch/2022-04-29_04-38-17
16,1,0.6371307432848764,8.426914744603716e-209,0.13951602128303114,0.3453315476166142,cifar10,666,30,/search_nb201_gpunum1_c10_16net_1batch_watch_NoneGrad/2022-05-04_00-46-44
16,1,0.6683658784434149,1.1646316361576957e-229,0.0949239807728116,0.5119242287389385,cifar10,666,30,/search_nb201_gpunum1_c10_16net_1batch_watch/2022-05-04_00-37-38
16,1,0.6236945189970324,1.398303059732899e-200,0.309426373877638,0.03439142257881747,cifar10,666,30,/search_nb201_gpunum1_c10_16net_1batch/2022-04-28_05-43-05
16,1,0.6397806286813876,7.476371121574072e-211,-0.06900655593423542,0.6380975269385074,cifar10,666,30,/search_nb201_gpunum1_c10_16net_1batch/2022-04-28_01-39-13
32,1,0.6369571419807375,1.0588939689590196e-208,0.11970586622859411,0.43233433657436404,cifar10,666,30,/search_nb201_gpunum1_c10_32net_1batch/2022-04-28_06-04-10
